captured_at,reg_no,ins_code,symbol,name_fa,fund_type,category,investment_type,market,is_etf,manager,website,last_price_rial,closing_price_rial,previous_price_rial,price_min_rial,price_max_rial,cancel_nav_rial,issue_nav_rial,statistical_nav_rial,nav_premium_pct,net_asset_rial,daily_return_pct,weekly_return_pct,monthly_return_pct,quarterly_return_pct,six_month_return_pct,annual_return_pct,trade_count,volume,trade_value_rial,estimated_individual_money_flow_rial,estimated_individual_buy_per_capita_rial,estimated_individual_sell_per_capita_rial,individual_buy_power_ratio,units_subscribed_day,units_redeemed_day,net_units_flow,stock_pct,bond_pct,cash_pct,deposit_pct,commodity_pct,other_pct,source_updated_at
2026-09-26T14:57:44.203Z,fundbase:آفرین,,آفرین,صندوق آفرین,مختلط,مختلط,ETF,نامشخص,true,سبدگردان سود آفرین,https://app.fundbase.ir/funds/%D8%A2%D9%81%D8%B1%DB%8C%D9%86,18933,18933,18381.55339805825,,,20805,,,-8.997837058399426,1000000000000,3,,,,,,,731208,10000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:آلتون,,آلتون,صندوق آلتون,طلا,طلا,ETF,نامشخص,true,سبد گردان آسمان,https://app.fundbase.ir/funds/%D8%A2%D9%84%D8%AA%D9%88%D9%86,75600,75600,74343.5932736749,,,75308,,,0.3877410102512302,169000000000000,1.69,,,,,,,18551312,1400000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:آوا,,آوا,صندوق آوا,سهامی عادی,سهامی,ETF,نامشخص,true,مشاور سرمایه گذاری معیار,https://app.fundbase.ir/funds/%D8%A2%D9%88%D8%A7,37352,37352,36267.59879599961,,,36248,,,3.0456852791878264,8000000000000,2.99,,,,,,,12004465,440000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:آوند,,آوند,صندوق آوند,درآمدثابت,درآمد ثابت,ETF,نامشخص,true,سبدگردان مفید,https://app.fundbase.ir/funds/%D8%A2%D9%88%D9%86%D8%AF,30439,30439,30387.34151941699,,,30430,,,0.029576076240545035,585000000000000,0.17,,,,,,,884563916,26920000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:ارزش مسکن,,ارزش مسکن,صندوق ارزش مسکن,املاک,املاک,ETF,نامشخص,true,گروه مدیریت ارزش سرمایه صندوق بازنشستگی کشوری,https://app.fundbase.ir/funds/%D8%A7%D8%B1%D8%B2%D8%B4-%D9%85%D8%B3%DA%A9%D9%86,35112,35112,34892.179270595254,,,12094,,,190.32578137919631,2000000000000,0.63,,,,,,,19147190,670000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:اکسیر,,اکسیر,صندوق اکسیر,خصوصی,جسورانه,ETF,نامشخص,true,سبد گردان ایساتیس پویا کیش,https://app.fundbase.ir/funds/%D8%A7%DA%A9%D8%B3%DB%8C%D8%B1,850000,850000,850000,,,,,,,4000000000000,0,,,,,,,0.4,,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:امتیاز,,امتیاز,صندوق امتیاز,سهامی عادی,سهامی,ETF,نامشخص,true,سبد گردان انتخاب اول,https://app.fundbase.ir/funds/%D8%A7%D9%85%D8%AA%DB%8C%D8%A7%D8%B2,19994,19994,19607.727763067567,,,20071,,,-0.3836380847989651,6000000000000,1.97,,,,,,,798053,20000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:امرالد,,امرالد,صندوق امرالد,طلا,طلا,ETF,نامشخص,true,تامین سرمایه کیمیا,https://app.fundbase.ir/funds/%D8%A7%D9%85%D8%B1%D8%A7%D9%84%D8%AF,31959,31959,31592.526690391456,,,31904,,,0.17239217652957883,97000000000000,1.16,,,,,,,47248758,1510000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:امین شهر,,امین شهر,صندوق امین شهر,املاک,املاک,ETF,نامشخص,true,مشاور سرمایه‌گذاری امین نیکان آفاق,https://app.fundbase.ir/funds/%D8%A7%D9%85%DB%8C%D9%86-%D8%B4%D9%87%D8%B1,14212,14212,14172.317510969287,,,,,,,58000000000000,0.28,,,,,,,21603702,450000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:اهرم,,اهرم,صندوق اهرم,اهرمی‌,اهرمی,ETF,نامشخص,true,سبد گردان کاریزما,https://app.fundbase.ir/funds/%D8%A7%D9%87%D8%B1%D9%85,64601,64601,62122.31945379363,,,81474,,,-20.709674251908584,422000000000000,3.99,,,,,,,239357925,15510000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:بازده,,بازده,صندوق بازده,درآمدثابت,درآمد ثابت,ETF,نامشخص,true,سبدگردان بازده,https://app.fundbase.ir/funds/%D8%A8%D8%A7%D8%B2%D8%AF%D9%87,26334,26334,26286.683968856058,,,26561,,,-0.8546364971198428,1000000000000,0.18,,,,,,,1983708,50000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:بامداد,,بامداد,صندوق بامداد,جسورانه,جسورانه,ETF,نامشخص,true,سبد گردان اطلس,https://app.fundbase.ir/funds/%D8%A8%D8%A7%D9%85%D8%AF%D8%A7%D8%AF,200000,200000,200000,,,,,,,3000000000000,0,,,,,,,0.3,,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:بیدار,,بیدار,صندوق بیدار,اهرمی‌,اهرمی,ETF,نامشخص,true,سبد گردان اقتصاد بیدار,https://app.fundbase.ir/funds/%D8%A8%DB%8C%D8%AF%D8%A7%D8%B1,53000,53000,52124.311565696305,,,66783,,,-20.638485842205355,184000000000000,1.68,,,,,,,99531246,5220000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:پایدار,,پایدار,صندوق پایدار,درآمدثابت,درآمد ثابت,ETF,نامشخص,true,سبدگردان رایا سهم,https://app.fundbase.ir/funds/%D9%BE%D8%A7%DB%8C%D8%AF%D8%A7%D8%B1,10986,10986,10965.166184249925,,,10954,,,0.2921307285010055,3000000000000,0.19,,,,,,,9767268,110000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:پایش,,پایش,صندوق پایش,درآمدثابت,درآمد ثابت,ETF,نامشخص,true,سبدگردان دینا,https://app.fundbase.ir/funds/%D9%BE%D8%A7%DB%8C%D8%B4,21220,21220,21177.644710578843,,,21216,,,0.018853695324283493,42000000000000,0.2,,,,,,,105399247,2240000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:پویا,,پویا,صندوق پویا,جسورانه,جسورانه,ETF,نامشخص,true,سبدگردان الگوریتم,https://app.fundbase.ir/funds/%D9%BE%D9%88%DB%8C%D8%A7,422400,422400,422400,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:پیروز,,پیروز,صندوق پیروز,سهامی عادی,سهامی,ETF,نامشخص,true,سبد گردان امید نهایت نگر,https://app.fundbase.ir/funds/%D9%BE%DB%8C%D8%B1%D9%88%D8%B2,27498,27498,26916.60140955364,,,27625,,,-0.4597285067873269,6000000000000,2.16,,,,,,,198162,10000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:پیشران,,پیشران,صندوق پیشران,اهرمی‌,اهرمی,,نامشخص,false,تامین سرمایه لوتوس پارسیان,https://app.fundbase.ir/funds/%D9%BE%DB%8C%D8%B4%D8%B1%D8%A7%D9%86,29925,29925,28774.03846153846,,,34239,,,-12.59966704635065,24000000000000,4,,,,,,,2327494,70000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:پیشگام,,پیشگام,صندوق پیشگام,جسورانه,جسورانه,ETF,نامشخص,true,سبدگردان الگوریتم,https://app.fundbase.ir/funds/%D9%BE%DB%8C%D8%B4%DA%AF%D8%A7%D9%85,1425870,1425870,1425870,,,,,,,3000000000000,0,,,,,,,0.3,,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:تابش,,تابش,صندوق تابش,طلا,طلا,ETF,نامشخص,true,تامین سرمایه تمدن,https://app.fundbase.ir/funds/%D8%AA%D8%A7%D8%A8%D8%B4,95975,95975,94333.59543935521,,,95295,,,0.7135736397502424,206000000000000,1.74,,,,,,,9065620,870000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:تمشک,,تمشک,صندوق تمشک,فراصندوق,مختلط,ETF,نامشخص,true,مشاور سرمایه گذاری ترنج,https://app.fundbase.ir/funds/%D8%AA%D9%85%D8%B4%DA%A9,51651,51651,51368.47339632024,,,52093,,,-0.8484825216439784,23000000000000,0.55,,,,,,,76068607,3950000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:ثروت,,ثروت,صندوق ثروت,خصوصی,جسورانه,ETF,نامشخص,true,سبدگردان توسعه فیروزه,https://app.fundbase.ir/funds/%D8%AB%D8%B1%D9%88%D8%AA,1060000,1060000,968036.5296803653,,,,,,,1000000000000,9.5,,,,,,,0.1,,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:جام طلا,,جام طلا,صندوق جام طلا,طلا,طلا,ETF,نامشخص,true,سبدگردان فارابی,https://app.fundbase.ir/funds/%D8%AC%D8%A7%D9%85-%D8%B7%D9%84%D8%A7,21503,21503,21224.953114203927,,,21347,,,0.7307818428819113,180000000000000,1.31,,,,,,,156519217,3360000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:جهش,,جهش,صندوق جهش,اهرمی‌,اهرمی,ETF,نامشخص,true,سبدگردان فارابی,https://app.fundbase.ir/funds/%D8%AC%D9%87%D8%B4,39902,39902,38367.30769230769,,,49395,,,-19.218544387083714,138000000000000,4,,,,,,,106276814,4240000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:جواهر,,جواهر,صندوق جواهر,طلا,طلا,ETF,نامشخص,true,سبد گردان زاگرس,https://app.fundbase.ir/funds/%D8%AC%D9%88%D8%A7%D9%87%D8%B1,88997,88997,87449.15004421734,,,87957,,,1.1823959434723808,242000000000000,1.77,,,,,,,21787633,1930000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:چاشنی,,چاشنی,صندوق چاشنی,بخشی,بخشی,ETF,نامشخص,true,سبد گردان ویستا,https://app.fundbase.ir/funds/%DA%86%D8%A7%D8%B4%D9%86%DB%8C,21164,21164,20549.567919215457,,,21176,,,-0.05666792595391268,180000000000000,2.99,,,,,,,12323381,260000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:خبرگان,,خبرگان,صندوق خبرگان,سهامی عادی,سهامی,ETF,نامشخص,true,سهامی خاص سبدگردان هامرز,https://app.fundbase.ir/funds/%D8%AE%D8%A8%D8%B1%DA%AF%D8%A7%D9%86,62485,62485,60665.04854368932,,,64293,,,-2.8121257368609376,12000000000000,3,,,,,,,1859070,120000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:خوشه,,خوشه,صندوق خوشه,فراصندوق,مختلط,,نامشخص,true,سبد گردان نو ویرا,https://app.fundbase.ir/funds/%D8%AE%D9%88%D8%B4%D9%87,32211,32211,32156.33423180593,,,32235,,,-0.07445323406235493,21000000000000,0.17,,,,,,,25817397,830000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:دارونو,,دارونو,صندوق دارونو,بخشی,بخشی,ETF,نامشخص,true,سبدگردان مفید,https://app.fundbase.ir/funds/%D8%AF%D8%A7%D8%B1%D9%88%D9%86%D9%88,38754,38754,37625.2427184466,,,37666,,,2.8885466999415854,180000000000000,3,,,,,,,133927635,5190000000000,,,,,,,,,,,,,,
2026-09-26T14:57:44.203Z,fundbase:دانیک,,دانیک,صندوق دانیک,املاک,املاک,ETF,نامشخص,true,گروه مالی دانایان,https://app.fundbase.ir/funds/%D8%AF%D8%A7%D9%86%DB%8C%DA%A9,14167,14167,14104.938271604939,,,15496,,,-8.576406814661851,2000000000000,0.44,,,,,,,8450296,120000000000,,,,,,,,,,,,,,
